Surname,Gender,Current Institution,Country of current work,Country of birth/citizenship,PhD or highest degree awarding institution ,PhD or highest degree awarding country,IPCC representing country (i.e. Country of residence from IPCC doc),IPCC AR5 WGIII chapter,Role in the chapter,Other Institution 1,Other Institution 2,Other Institution 3,Other Institution 4,Other Institution 5,Other Institution 6,Other Institution 7,Other Institution 8,Other Institution 9,Other Institution 10,Other Institution 11,Other Institution 12,Other Institution 13,Other Institution 13,Other Institution 14,Other Institution 15
Kolstad,1,UoStanford,USA,USA,UoStanford,USA,USA,3,CLA,UoCalifornia_SantaBarbara,UoIllinois,CESifo,MIT,UoStanford,,,,,,,,,,,
Kopp,1,RFF,USA,MD,UoNew_York,USA,USA,16,LA,RFF,,,,,,,,,,,,,,,
Krey,1,IIASA,Austria,MD,Ruhr_UoBochum,Germany,Austria,6,LA,IIASA,RC_Julich,IPCC,EMF,UoVienna,PNNL,,,,,,,,,,
Kriegler,1,PIK,Germany,Germany,UoPotsdam,Germany,Germany,6,LA,PIK,WBGU,,,,,,,,,,,,,,
Krug,0,INPE,Brazil,MD,UoSheffield,UK,Brazil,11,RE,INPE,,,,,,,,,,,,,,,
Kunreuther,1,UoPennsylvania,USA,USA,MIT,USA,USA,2,CLA,UoPennsylvania,IIASA,UoYale,IDA,UoChicago,,,,,,,,,,,
Kverndokk,1,Frisch_Centre,Norway,Norway,UoOslo,Norway,Norway,3,RE,SNF,Statistics_Norway,UoOslo,NASL,Frisch_Centre,CREE,,,,,,,,,,
Labandeira,1,UoVigo,Spain,Spain,UoVigo,Spain,Spain,15,LA,UoVigo,CEU,UNED,UoIlles_Balears,UoPalmas_GranCanaria,CIHEAM,,,,,,,,,,
Lanza,1,CMCC,Italy,Italy,UCL,UK,Italy,10,LA,UoEni_Corporate,FEEM,OECD,UoOxford,,,,,,,,,,,,
Lecocq,1,AgroParisTech,France,France,ENGREF,France,France,4,LA,CIRED,AgroParisTech,World_Bank,EHESS,,,,,,,,,,,,
Lee,1,UoKeimyung,South_Korea,South_Korea,Brown University,USA,South_Korea,13,LA,UNEP_Risoe_Centre,Korea Environment Institute,LG Economic Research Institute,Korea Energy Economics Institute,,,,,,,,,,,,
Lefevre,1,WRI,USA,France,Paris_Tech,France,USA,16,LA,UFP,IDDRI,GMS,IURD,UoCalifornia_Berkeley,,,,,,,,,,,
Lewis,0,UoGeorgetown,USA,USA,UoCalifornia_Berkeley,USA,USA,14,LA,US_China_CEF,UNIDO,Pew_Center_GCC,UoGeorgetown,LBNL,UoCalifornia_Berkeley,,,,,,,,,,
Ling,0,Third_World_Network,Malaysia,Malaysia,UoCambridge,UK,Malaysia,4,LA,UoMalaysia,,,,,,,,,,,,,,,
Linnerooth-Bayer,0,IIASA,Austria,Austria,UoMaryland,USA,Austria,2,RE,TechUoVienna,IRM,,,,,,,,,,,,,,
Liphoto,1,Eskom,South_Africa,South_Africa,UoKwaZulu,South_Africa,South_Africa,9,LA,CCMP_Johannesburg,CSIR,,,,,,,,,,,,,,
Llanes-Regueiro,1,UoHavana,Cuba,Cuba,UoHavana,Cuba,Cuba,2,LA,UNDP,Beijer_Institute,UNU,,,,,,,,,,,,,
Löschel,1,ZEW,Germany,Germany,UoHeidelberg/UoMannheim,Germany,Germany,6,LA,UoOldenburg,European_Comission,ZEW,MIT,UoHeidelberg,UCL,,,,,,,,,,
Lucon,1,SMA-SP,Brazil,Brazil,UoSaoPaulo,Brazil,Brazil,9,CLA,CETESB,IMT,UoSaoPaulo,,,,,,,,,,,,,
Lutz,1,WCDGHC,Austria,Austria,UoPennsylvania,USA,Austria,4,LA,UoOxford,MPIC,APHRC,European_Comission,IUSSP,UoVienna,,,,,,,,,,
Lwasa,1,UoMarkerere,Uganda,MD,UoMarkerere,Uganda,Uganda,12,LA,MD,,,,,,,,,,,,,,,
Machado-Filho,1,UNDP,Brazil,Brazil,UoGeneva,Switzerland,Brazil,16,LA,Ministry_Science_Technology_Brazil,,,,,,,,,,,,,,,
Managi,1,UoTohoku,Japan,Japan,UoRhode_Island,USA,Japan,15,LA,JoEEM,JoEDC,JoRE,JoIE,WRS,,,,,,,,,,,
Masera-Cerutti,1,UNAM,Mexico,Mexico,UoCalifornia_Berkeley,USA,Mexico,11,LA,FAO,UNFCCC,Mexican_Government,,,,,,,,,,,,,
Massetti,1,FEEM,Italy,Italy,Cath_UoMilan,Italy,Italy,16,LA,UoVenice,UoYale,RFF,,,,,,,,,,,,,
Mathur,0,TERI,India,India,UoKyoto,Japan,India,5,LA,MD,,,,,,,,,,,,,,,
Mbow,1,UoAnta_Diop,Senegal,Senegal,UoAnta_Diop/UoCopenhagen,Senegal/Denmark,Senegal,11,LA,MD,,,,,,,,,,,,,,,
McKinnon,1,KLU,Germany,UK,UCL,UK,Germany,8,LA,UoLeicester,,,,,,,,,,,,,,,
McMahon,1,BCRPA,USA,MD,UoFlorida,USA,USA,12,LA,LBNL,UoCalifornia_Berkeley,,,,,,,,,,,,,,
Messouli,1,UoCadi_Ayyad,Morocco,Morocco,MD,MD,Morocco,14,LA,MD,,,,,,,,,,,,,,,
Meyer,1,UoGraz,Austria,Germany,UoOxford,UK,Austria,3,LA,UoBern,UoKeele,UoZurich,FU_Berlin,,,,,,,,,,,,
Michaelowa,1,UoZurich,Switzerland,Germany,UoHamburg,Germany,Switzerland,13,LA,HWWA,,,,,,,,,,,,,,,
Mirasgedis,1,NOA,Greece,MD,MD,MD,Greece,9,LA,MD,,,,,,,,,,,,,,,
Mitchell,0,UoExeter,UK,UK,UoSussex,UK,UK,15,LA,UoWarwick,UoSussex,UoCalifornia_Berkeley,UKERC,,,,,,,,,,,,
Montero,1,PUC,Chile,Chile,MIT,USA,Chile,15,LA,PUC,ISCI,MIT,World_Bank,,,,,,,,,,,,
Morgan,0,WRI,USA,USA,UoAmerican,USA,USA,13,RE,E3G,WWF,US_Climate_Action,,,,,,,,,,,,,
Müller,1,NTNU,Norway,Switzerland,ETH_Zurich,Switzerland,Norway,12,LA,MD,,,,,,,,,,,,,,,
Mulugetta,1,UoSurrey,UK,Ethiopia,UoLeeds,UK,UK,7,CLA,CES,ACPC,UNECA,,,,,,,,,,,,,
Mundaca,1,UoLund,Sweden,Chile,UoLund,Sweden,Sweden,3,LA,UoSevilla,MD,,,,,,,,,,,,,,
"Murakami, Jin",1,UoHong_Kong,China,Japan,UoCalifornia_Berkeley,USA,China,12,LA,UoCalifornia_Berkeley,World_Bank,LILP,TRB,,,,,,,,,,,,
"Murakami, Shuzo",1,UoKeio,Japan,Japan,UoTokyo,Japan,Japan,9,LA,UoTongji,UoTokyo,,,,,,,,,,,,,,
Muvundika,1,NISIR,Zambia,Zambia,UoLancashire,UK,Zambia,1,RE,NISIR,,,,,,FEEM,UoHeidelberg,,,,,,,,
Muylaert-de-Araujo,0,UFRJ,Brazil,Brazil,UFRJ,Brazil,Brazil,4,LA,FUNCEFET/RJ,UFRJ,SEARJ,PNUD,UGF,,,,,,,,,,,
Nabuurs,1,UoWageningen,Netherlands,MD,UoEast_Finland,Finland,Finland,11,RE,EFI,UoEast_Finland,UoWageningen,IPCC,,,,,,,,,,,,
Nagendra,0,ATREE,India,India,IIS,India,India,12,LA,ETH_Zurich,IAS_Berlin,IIS,,,,,,,,,,,,,
Nakicenovic,1,IIASA,Austria,MD,UoVienna,Austria,Austria,5,LA,GEA,TechUoVienna,MD,,,,,,,,,,,,,
Nenov,1,UoBurgas,Bulgaria,MD,MD,MD,Bulgaria,10,RE,MD,,,,,,,,,,,,,,,
Newman,1,UoCurtin,Australia,Australia,UoWestern_Australia,Australia,Australia,8,LA,UoMurdoch,UoCurtin,UoStanford,Western_Australian_Government,,,IoHudson,,,,,,,,,
Nimir,1,UoKhartoum,Sudan,Sudan,NMT,USA,Sudan,7,LA,NMT,Ministry_Energy_Mining_Sudan,,,,,,,,,,,,,,
Norgaard,1,UoCalifornia_Berkeley,USA,USA,UoChicago,USA,USA,4,LA,OregonCE,AES,UoCalifornia_Berkeley,,,,,,,,,,,,,
Nzunda,1,UoSokoine,Tanzania,Tanzania,UoKwaZulu,South_Africa,Tanzania,11,LA,CIFOR,,,,,,,,,,,,,,,
Ofosu-Ahenkorah,1,Energy_Comission_Ghana,Ghana,Ghana,MD,MD,Ghana,5,LA,REEEP,,,,,,,,,,,,,,,
Okereke,1,UoReading,UK,Nigeria,UoKeele,UK,UK,4,LA,UoOxford,Tyndall_CCR,UNITAR,CDKN,,,,,,,,,,,,
Olivier,1,PBL,Netherlands,Netherlands,UoUtrecht,Netherlands,Netherlands,1,LA,PBL,MNP,RIVM,AER,TU_Delft,,,,,,,,,,,
Ouyang,1,UoTsinghua,China,China,DTU,Denmark,China,8,LA,UoTsinghua,China_Government,NSSGRE,,,,UoTsinghua,Green_Capital_Consulting,IPSEP,EDF,NWF,NHMI,HAVO,OTS,CEQ,
Paltsev,1,MIT,USA,MD,UoColorado,USA,USA,6,LA,World_Bank,UoColorado,IMCC,BSU,,,,,,,,,,,,
Pálvölgy,1,Budapest_Uo_Technology_Economics,Hungary,Hungary,Hungarian_Academy_of_Sciences,Hungary,Hungary,9,RE,National_Weather_Service,Environment_Ministry,Environment_Consulting_Ltd,Budapest_Uo_Technology_and_Economics,Hungarian_Institute_of_ Geology_Geophysics,,ERSA,SE_Stockholm,UoOslo,European_Comission,World_Bank,,,,,
Pan,1,CASS,China,China,UoCambridge,UK,China,5,LA,MD,,,,,,,,,,,,,,,
"Parikh, Jyoti",0,IRADe,India,India,UoMaryland,USA,India,9,LA,IGIDR,IIASA,World_Bank,UNIDO,FAO,UNESCO,,,,,,,,,,
"Parikh, Kirit",1,IRADe,India,India,MIT,USA,India,7,RE,India_Government,IGIDR,IIASA,ISI,MIT,,,,,,,,,,,
Paterson,1,UoOttawa,Canada,UK,UoEssex,UK,Canada,13,LA,RIIA,UoKeele,UoStirling,,,,,,,,,,,,,
Pathak,1,IARI,India,India,MD,MD,India,5,LA,MD,,,,,,,,,,,,,,,
Patt,1,ETH_Zurich,Switzerland,USA,UoHarvard,USA,Switzerland,2,LA,IIASA,UoBayreuth,UoBoston,UoHarvard,Landworks,Mad_River_Glen_Ski,,,,,,,,,,
Perczyk,1,ITDT,Argentina,MD,UoBuenos_Aires,Argentina,Argentina,10,LA,UNFCCC,,,,,,UoHavana,UoBologna,,,,,,,,
Pérez-Arriaga,1,IIT,Spain,Spain,UPM,Spain,Spain,16,LA,UoComillas,TU_Delft,UoBocconi,SNERC,MIT,,,,,,,,,,,
Pichs-Madruga,1,CIEM,Cuba,Cuba,UNAM,Mexico,Cuba,-,CC,MD,,,,,,,,,,,,,,,
Pinguelli-Rosa,1,UFRJ,Brazil,Brazil,PUC-Rio,Brazil,Brazil,4,RE,COPPE,ELETROBRAS,UFRJ,,,,,,,,,,,,,
Price,0,LBNL,USA,MD,UoWisconsin-Madison,USA,USA,10,LA,Price_Associates,MHB_Technical_Associates,US_Energy,ETAAC,CEC,,,,,,,,,,,
Pyke,1,GBC,USA,MD,UoCalifornia_SantaBarbara,USA,USA,9,LA,CTG_Energetics,US_EPA_GCRP,GWU,,,,,,,,,,,,,
Ramakrishna,1,UNESCAP,South_Korea,India,UoJawaharlal_Nehru,India,South_Korea,13,LA,UNEP,UNFCCC,UoBoston,UoYale,WHRC,UoHarvard,Symbol_Technologies,,,,,,,,,
Ramaswami,0,UoMinnesota,USA,MD,CMU,USA,USA,12,LA,UCD,,,,,,,,,,,,,,,
Rauscher,1,UoRostock,Germany,MD,UoKonstanz,Germany,Germany,14,LA,MD,,,,,,,,,,,,,,,
Ravindranath,1,IIS,India,MD,MD,MD,India,11,LA,MD,,,,,,,,,,,,,,,
Riahi,1,IIASA,Austria,MD,MD,MD,Austria,7,LA,GEA,MD,,,,,,,,,,,,,,
"Rice, Charles",1,UoKansas,USA,MD,UoKentucky,USA,USA,11,LA,CRC_Greenhouse_Accounting,UoKansas,UoMichigan,,,,,,,,,,,,,
"Rice, Jake",1,DFO,Canada,Canada,UoToronto,Canada,Canada,5,LA,DFO,UoCopenhagen,MUN,,,,,,,,,,,,,
Richels,1,EPRI,USA,USA,UoHarvard,USA,USA,5,LA,MD,,,,,,,,,,,,,,,
Robledo-Abad,0,HELVETAS,Switzerland,MD,MD,MD,Switzerland,11,LA,MD,,,,,,,,,,,,,,,
Rogner,1,IAEA,Austria,Germany,UoKarlsruhe,Germany,Austria,1,LA,IAEA,UoVictoria,IIASA,UoFlensburg,IASR,,,,,,,,,,,
Romanovskaya,0,RAS,Russia,MD,Russian_AcademyoScience,Russia,Russia,11,LA,UNFCCC,IIASA,,,,,,,,,,,,,,
Rose,1,EPRI,USA,MD,UoCornell,USA,USA,6,LA,EPA,,,,,,,,,,,,,,,
Roy,0,UoJadavpur,India,India,UoJadavpur,India,India,10,CLA,LBNL,Muralidhar_College,UoJadavpur,,,,,,,,,,,,,
Ruth,1,UoMaryland,USA,MD,UoIllinois,USA,USA,4,RE,UoMaryland,UoBoston,UoIllinois,,,,,,,,,,,,,
Sagar,1,IIT,India,India,MIT,USA,India,4,LA,MD,,,,,,,,,,,,,,,
Santalla,0,UNICEN,Argentina,Argentina,UNLP,Argentina,Argentina,10,LA,UNICEN,,,,,,,,,,,,,,,
Sathaye,1,LBNL,USA,India,MD,MD,USA,4,RE,MD,,,,,,,,,,,,,,,
Schaeffer,1,UFRJ,Brazil,MD,UoPennsylvania,USA,Brazil,8,CLA,IAEA,UN,UFRJ,UoPennsylvania,CNPq,,,,,,,,,,,
Schauer,1,UoWisconsin-Madison,USA,MD,CalTech,USA,USA,8,LA,MD,,,,,,,,,,,,,,,
Seroa-da-Motta,1,UERJ,Brazil,Brazil,UoLondon,UK,Brazil,15,RE,ANAC,IBMEC,MMA,USU,IPEA,UFRJ,,,,,,,,,,
Seto,0,UoYale,USA,MD,UoBoston,USA,USA,12,CLA,MD,,,,,,,,,,,,,,,
Sheikho,1,KACST,Saudi_Arabia,MD,UoStirling,UK,Saudi_Arabia,1,LA,MD,,,,,,,,,,,,,,,
Sheinbaum,0,UNAM,Mexico,Mexico,UNAM/UCBerkeley,Mexico/USA,Mexico,10,LA,Mexican_Government,,,,,,,,,,,,,,,
Shittu,1,UoTulane,USA,MD,UoMassachusetts,USA,USA,2,LA,UoMassachusetts,AuCairo,,,,,,,,,,,,,,
Shukla,1,IIM,India,India,UoStanford,USA,India,6,LA,UoStanford,NID,,,,,,,,,,,,,,
Sims,1,UoNew_Zealand,New_Zealand,UK,UoNewcastle,UK,New_Zealand,8,CLA,IEA,,,,,,,,,,,,,,,
Skea,1,RCUK,UK,UK,U_Edinburgh,UK,UK,7,RE/VC,UKERC,PSIUK,UoSussex,ICL,,,,,,,,,,,,
Smith,1,UoAberdeen,UK,UK,MD,MD,UK,11,CLA,MD,,,,,,,,,,,,,,,
Sokona,1,ACPC,Mali,Mali,ENSMP_Ucurie,France,Mali,-,CC,OSS,EDTM,ENIB,,,,,,,,,,,,,
Somanathan,1,ISI,India,MD,UoHarvard,USA,India,15,CLA,MD,,,,,,,,,,,,,,,
"Sperling, Daniel",1,UoCalifornia_Davis,USA,USA,UoCalifornia_Berkeley,USA,USA,8,LA,UoCalifornia_Davis,US_EPA,Honduras_Government,,,,,,,,,,,,,
"Sperling, Frank",1,AfDB,Tunisia,Norway,MD,MD,Tunisia,11,LA,WWF_Norway,,,,,,,,,,,,,,,
Stavins,1,UoHarvard,USA,USA,UoHarvard,USA,USA,13,CLA,MD,,,,,,,,,,,,,,,
Stern,1,ANU,Australia,UK,UoBoston,USA,Australia,5,LA,ANU,UoBoston,UoYork,RPI,,,,,,,,,,,,
Sterner,1,UoGothenburg,Sweden,Sweden,UoGothenburg,Sweden,Sweden,15,CLA,Bank_of_Gothenburg,UoGothenburg,World_Bank,SSB,Environment_Defense_Fund,,,,,,,,,,,
Strachan,1,UCL,UK,UK,CMU,USA,UK,7,LA,UCL,KCL,UKERC,,,,,,,,,,,,,
Sugiyama,1,CRIEPI,Japan,Japan,UoTokyo,Japan,Japan,15,CLA,IIASA,CRIEPI,,,,,,,,,,,,,,
Suh,1,UoCalifornia_SantaBarbara,USA,MD,UoLeiden,Netherlands,USA,5,CLA,UoCalifornia_SantaBarbara,CMU,UoMinnesota,UoLeiden,UoAjou,,,,,,,,,,,
Suliman,1,MD,Sudan,MD,UoColorado_State,USA,Sudan,15,RE,HCENR_Sudan,ENTRO,,,,,,,,,,,,,,
Tanaka,0,JST,Japan,Japan,UoTokyo,Japan,Japan,10,LA,IEA,,,,,,,,,,,,,,,
Tavoni,1,CMCC,Italy,Italy,Cath_UoMilan,Italy,Italy,6,LA,FEEM,UoVenice,Prometeia_Spa,Italian_Development_Cooperation,,,JHU,SAIS,,,,,,,,
Teng,1,UoTsinghua,China,MD,UoTsinghua,China,China,15,LA,MD,,,,,,,,,,,,,,,
Tiwari,1,IIT,India,India,UoIllinois,USA,India,8,LA,Chalmers_UoTechnology_Sweden,,,,,,,,,,,,,,,
Torres-Martínez,1,CUBASOLAR,Cuba,Cuba,UoHavana,Cuba,Cuba,12,RE,CITMA,,,,,,,,,,,,,,,
Toth,1,IAEA,Austria,Hungary,UoBudapest,Hungary,Hungary,5,LA,IIASA,PIK,,,,,,,,,,,,,,
Tubiello,1,FAO,Italy,Italy,NYU,USA,Italy,11,LA,Biosphere2Agriculture,UoColumbia,GET-Carbon,,,,,,,,,,,,,
Uddin,1,UoNew_South_Wales,Australia,MD,MD,MD,Australia,14,LA,MD,,,,,,,,,,,,,,,
Urama,1,ATPS,Kenya,MD,UoCambridge,UK,Kenya,3,CLA,ASEE,UoStellenbosch,UoMurdoch,OECD,UNESCO,ACCAI,,,,,,,,,,
Ürge-Vorsatz,0,CEU,Hungary,MD,UoCalifornia_Berkeley,USA,Hungary,9,CLA,CEU,3CSEP,LBNL,UoCalifornia_LosAngeles,UoEotvos,Bechtel_Corporation,UoCalifornia_Berkeley,,,,,,,,,
Van-der-Zwaan,1,ECN,Netherlands,Netherlands,UoNijmegen,Netherlands,Netherlands,6,LA,UoHarvard,UoVrije,UoStanford,IFRI,CERN,,,,,,,,,,,
Van-Vuuren,1,UoUtrecht,Netherlands,Netherlands,UoUtrecht,Netherlands,Netherlands,6,LA,UoUtrecht,UoLeiden,RIVM,,,,,,,,,,,,,
Venables,1,UoOxford,UK,UK,UoOxford,UK,UK,14,LA,BA,CEPR,RES,EER,Economic_Journal,FGL,,,,,,,,,,
Verbruggen,1,UoAntwerp,Belgium,Belgium,UoAntwerp,Belgium,Belgium,5,RE,IESD,REGASA,CINERGIE,,,,,,,,,,,,,
Victor,1,UCSD,USA,USA,MIT,USA,USA,1,CLA,UCSD,Stanford_LS,UoStanford,CFR,IIASA,,,,,,,,,,,
Vilariño,0,WBCSD,Argentina,Argentina,ITBA,Argentina,Argentina,9,LA,AEC,Techint_Organization,AMCHAM,WRI,,,,,,,,,,,,
Weber,0,UoColumbia,USA,MD,UoHarvard,USA,USA,2,LA,UoColumbia,UoOhio,WHU,UoChicago,UoIllinois,UoToronto,,,,,,,,,,
Wen,1,Finance_Ministry,China,China,Chines_Academy_of_Sciences,China,China,13,LA,Chinese_Academy_of_Sciences,China_GEF_Office,,,,,,,,,,,,,,
Weyant,1,UoStanford,USA,MD,UoCalifornia_Berkeley,USA,USA,6,RE,ETAAC,IAMC,,,,,,,,,,,,,,
Wiener,1,UoDuke,USA,USA,UoHarvard,USA,USA,13,LA,RFF,UoHarvard,Council_Economics_Advisers_USA,US_Justice,ALI,NBER,IBGE,,,,,,,,,
Winkler,1,UoCape_Town,South_Africa,South_Africa,UoCape_Town,South_Africa,South_Africa,13,LA,ERC,Common_Ground_Consulting,Regional_Land_Claims_Commission,,,,,,,,,,,,,
Wiser,1,LBNL,USA,MD,UoCalifornia_Berkeley,USA,USA,7,LA,CEC,HMcH_Inc,Betchel_Corp,AESco,,,,,,,,,,,,
Yamaguchi,1,KOMEX,Japan,Japan,UoKeio,Japan,Japan,1,LA,KOMEX,RCAST,UoKeio,UoTeikyo,UoSophia,TMFIco,,,,,,,,,,
Yamba,1,UoZambia,Zambia,Zambia,UoLeeds,UK,Zambia,-,VC,UoZambia,Moscow_AP,Mech_SB,FEIZ,CEEEZ,INDECO,,,,,,,,,,
Yetano-Roche,0,WICEE,Germany,Spain,UCL,UK,Germany,10,LA,HyWays_EU,IMC,BESEL_SA,WICEE,,,,,,,,,,,,
Zain-Ahmed,0,UToMara,Malaysia,Malaysia,UoHertfordshire,UK,Malaysia,9,LA,UToMara,RISE,,,,,,,,,,,,,,
Zatari,1,ME,Saudi_Arabia,Saudi_Arabia,UoNewcastle,UK,Saudi_Arabia,-,VC,UNFCCC,UNEP,CSD,,,,,,,,,,,,,
Zhang,1,UoTsinghua,China,China,UoTsinghua,China,China,7,LA,CNSSF,MD,,,,,,,,,,,,,,
"Zhou, Dadi",1,NDRC,China,China,UoTsinghua,China,China,1,CLA,NDRC,CERA,,,,,World_Bank,UoVenice,UoParisI,UoUdine,UoAix-en-Provence,UoParisX,LUISS,ERC,CEPS,FEEM
"Zhou, Peter",1,EECG_Consultants,Botswana,MD,MD,MD,Botswana,5,LA,Southern Centre for Energy and Environment,UNEP_Risoe_Centre,,,,,,,,,,,,,,
Zou,1,CCSC,China,China,UoRenmin,China,China,13,CLA,UoRenmin,,,,,,,,,,,,,,,
Zycliz,1,UoWarsaw,Poland,Poland,UoWarsaw,Poland,Poland,15,LA,UoHarvard,WEEC,UoColorado,UoWisconsin-Madison,UoWarsaw,,,,,,,,,,,
